OPERATEUR;FILIERE;Année;Code Région;Nom Région;CODE CATEGORIE CONSOMMATION;CODE GRAND SECTEUR;CODE SECTEUR NAF2;Nb sites;Conso totale (MWh);Conso moyenne (MWh);Nombre de mailles secretisées;Part thermosensible (%);Conso totale à usages thermosensibles (MWh);Conso totale à usages non thermosensibles (MWh);Thermosensibilité totale (kWh DJU);Conso totale corrigée de l'aléa climatique à usages thermosensibles (MWh);Conso moyenne à usages thermosensibles (MWh);Conso moyenne à usages non thermosensibles (MWh);Thermosensibilité moyenne (kWh DJU);Conso moyenne corrigée de l'aléa climatique à usages thermosensibles (MWh);DJU à TR;DJU à TN;Nombre d'habitants;Taux de logements collectifs;Taux de résidences principales;Superficie des logements <30 m2;Superficie des logements 30 à 40 m2;Superficie des logements 40 à 60 m2;Superficie des logements 60 à 80 m2;Superficie des logements 80 à 100 m2;Superficie des logements >100 m2;Résidences principales avant 1919;Résidences principales de 1919 à 1945;Résidences principales de 1946 à 1970;Résidences principales de 1971 à 1990;Résidences principales de 1991 à 2005;Résidences principales de 2006 à 2015;Résidences principales après 2016;Taux de chauffage électrique
Energies et services d'Hagondange;Electricité;2021;44;Grand Est;ENT;TERTIAIRE;96;1;21.913;21.913;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies et services d'Hagondange;Electricité;2021;44;Grand Est;PRO;INDUSTRIE;;3;61.913;20.6376666666667;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies et services d'Hagondange;Electricité;2022;44;Grand Est;ENT;INDUSTRIE;43;4;1418.73;354.6825;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies et services d'Hagondange;Electricité;2022;44;Grand Est;ENT;TERTIAIRE;45;2;129.428;64.714;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies et services d'Hagondange;Electricité;2022;44;Grand Est;ENT;TERTIAIRE;82;1;21.349;21.349;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies et services d'Hagondange;Electricité;2022;44;Grand Est;ENT;TERTIAIRE;84;9;657.1;73.0111111111111;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies et services d'Hagondange;Electricité;2022;44;Grand Est;ENT;TERTIAIRE;93;1;2172.771;2172.771;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies et services d'Hagondange;Electricité;2022;44;Grand Est;PRO;INCONNU;;949;5337.727;5.62458061116965;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies et services d'Hagondange;Electricité;2023;44;Grand Est;ENT;INCONNU;;7;495.085;70.7264285714286;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies et services d'Hagondange;Electricité;2023;44;Grand Est;ENT;INDUSTRIE;25;3;967.128;322.376;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies et services d'Hagondange;Electricité;2023;44;Grand Est;ENT;TERTIAIRE;61;1;311.055;311.055;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies et services d'Hagondange;Electricité;2023;44;Grand Est;ENT;TERTIAIRE;82;1;19.107;19.107;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies et services d'Hagondange;Electricité;2023;44;Grand Est;ENT;TERTIAIRE;84;9;577.532;64.1702222222222;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies et services d'Hagondange;Electricité;2023;44;Grand Est;ENT;TERTIAIRE;86;1;217.185;217.185;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies et services d'Hagondange;Electricité;2023;44;Grand Est;ENT;TERTIAIRE;93;1;2031.165;2031.165;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies et services d'Hagondange;Electricité;2023;44;Grand Est;ENT;TERTIAIRE;94;1;13.737;13.737;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies et services d'Hagondange;Electricité;2023;44;Grand Est;PRO;INCONNU;;924;4740.371;5.13027164502165;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies et services d'Hagondange;Electricité;2023;44;Grand Est;PRO;INDUSTRIE;;32;143.072;4.471;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies-services Sainte Marie aux Chênes;Electricité;2018;44;Grand Est;ENT_PRO;INDUSTRIE;;7;16959.038;2422.71971428571;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies-services Sainte Marie aux Chênes;Electricité;2019;44;Grand Est;ENT_PRO;INCONNU;;15;4297.292;286.486133333333;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies-services Sainte Marie aux Chênes;Electricité;2019;44;Grand Est;ENT_PRO;TERTIAIRE;;5;662.065;132.413;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies-services Sainte Marie aux Chênes;Electricité;2019;44;Grand Est;RES;RESIDENTIEL;;2302;12391.046;5.38273066898349;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies-services Sainte Marie aux Chênes;Electricité;2020;44;Grand Est;ENT_PRO;INCONNU;;18;4045.605;224.755833333333;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies-services Sainte Marie aux Chênes;Electricité;2020;44;Grand Est;RES;RESIDENTIEL;;2321;12557.343;5.41031581214994;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies-services Sainte Marie aux Chênes;Electricité;2021;44;Grand Est;ENT;INCONNU;;19;4328.532;227.817473684211;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies-services Sainte Marie aux Chênes;Electricité;2021;44;Grand Est;ENT;INDUSTRIE;25;2;150.939;75.4695;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies-services Sainte Marie aux Chênes;Electricité;2021;44;Grand Est;ENT;INDUSTRIE;31;1;67.494;67.494;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies-services Sainte Marie aux Chênes;Electricité;2021;44;Grand Est;ENT;TERTIAIRE;47;1;82.953;82.953;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies-services Sainte Marie aux Chênes;Electricité;2021;44;Grand Est;ENT;TERTIAIRE;70;1;163.727;163.727;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies-services Sainte Marie aux Chênes;Electricité;2022;44;Grand Est;ENT;INDUSTRIE;25;2;151.78;75.89;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies-services Sainte Marie aux Chênes;Electricité;2022;44;Grand Est;ENT;TERTIAIRE;70;1;159.554;159.554;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies-services Sainte Marie aux Chênes;Electricité;2022;44;Grand Est;PRO;TERTIAIRE;;89;929.085;10.4391573033708;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies-services Sainte Marie aux Chênes;Electricité;2023;44;Grand Est;ENT;INCONNU;;19;5714.255;300.750263157895;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies-services Sainte Marie aux Chênes;Electricité;2023;44;Grand Est;ENT;INDUSTRIE;29;1;272.964;272.964;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies-services Sainte Marie aux Chênes;Electricité;2023;44;Grand Est;PRO;INCONNU;;167;1646.953;9.86199401197605;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Electricité;2018;44;Grand Est;ENT_PRO;AGRICULTURE;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Electricité;2018;44;Grand Est;ENT_PRO;TERTIAIRE;;1221;30359.0;24.8640458640459;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Electricité;2019;44;Grand Est;ENT_PRO;TERTIAIRE;;1228;30347.0;24.7125407166124;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Electricité;2020;44;Grand Est;ENT;INCONNU;;25;4362.0;174.48;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Electricité;2020;44;Grand Est;ENT;INDUSTRIE;10;3;509.0;169.666666666667;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Electricité;2020;44;Grand Est;ENT;INDUSTRIE;35;2;147.0;73.5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Electricité;2020;44;Grand Est;ENT;INDUSTRIE;42;1;50.0;50.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Electricité;2020;44;Grand Est;ENT;TERTIAIRE;45;4;397.0;99.25;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Electricité;2020;44;Grand Est;ENT;TERTIAIRE;49;4;506.0;126.5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Electricité;2020;44;Grand Est;ENT;TERTIAIRE;56;7;907.0;129.571428571429;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Electricité;2020;44;Grand Est;ENT;TERTIAIRE;71;1;64.0;64.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Electricité;2020;44;Grand Est;ENT;TERTIAIRE;90;1;162.0;162.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Electricité;2020;44;Grand Est;ENT;TERTIAIRE;91;1;174.0;174.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Electricité;2020;44;Grand Est;ENT;TERTIAIRE;94;1;19.0;19.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Electricité;2020;44;Grand Est;PRO;INDUSTRIE;;76;797.0;10.4868421052632;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Electricité;2021;11;Île-de-France;PRO;INCONNU;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Electricité;2021;24;Centre-Val de Loire;PRO;INCONNU;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Electricité;2021;44;Grand Est;PRO;TERTIAIRE;;1442;22070.566;15.3055242718447;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Electricité;2021;44;Grand Est;RES;RESIDENTIEL;;8783;28753.48;3.27376522828191;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Electricité;2021;53;Bretagne;ENT;INCONNU;;1;11.529;11.529;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Electricité;2021;53;Bretagne;PRO;INDUSTRIE;;1;54.225;54.225;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Electricité;2021;75;Nouvelle-Aquitaine;PRO;TERTIAIRE;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Electricité;2022;44;Grand Est;ENT;INCONNU;;215;212367.595;987.756255813954;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Electricité;2022;44;Grand Est;PRO;INCONNU;;701;4060.856;5.79294721825963;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Electricité;2022;44;Grand Est;PRO;INDUSTRIE;;94;933.957;9.93571276595745;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Electricité;2022;44;Grand Est;PRO;TERTIAIRE;;1339;8923.56;6.66434652725915;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Electricité;2022;44;Grand Est;RES;RESIDENTIEL;;8815;27091.146;3.07330073737947;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Gaz;2018;44;Grand Est;ENT_PRO;AGRICULTURE;;1;63.0;63.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Gaz;2018;44;Grand Est;ENT_PRO;TERTIAIRE;;523;41807.0;79.9369024856597;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Gaz;2020;44;Grand Est;ENT;INDUSTRIE;10;1;222.0;222.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Gaz;2020;44;Grand Est;ENT;TERTIAIRE;71;1;403.0;403.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Gaz;2020;44;Grand Est;PRO;AGRICULTURE;;1;69.0;69.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Gaz;2020;44;Grand Est;PRO;TERTIAIRE;;347;20517.0;59.1268011527378;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Gaz;2020;44;Grand Est;RES;RESIDENTIEL;;5852;74157.0;12.6720779220779;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Gaz;2021;32;Hauts-de-France;PRO;TERTIAIRE;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Gaz;2021;44;Grand Est;ENT;INCONNU;;72;91606.794;1272.31658333333;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Gaz;2021;44;Grand Est;PRO;AGRICULTURE;;1;55.719;55.719;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Gaz;2021;44;Grand Est;PRO;TERTIAIRE;;355;19465.536;54.8324957746479;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Gaz;2021;44;Grand Est;RES;RESIDENTIEL;;5963;72163.972;12.1019574039913;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Gaz;2022;44;Grand Est;ENT;INCONNU;;247;121892.292;493.491060728745;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Gaz;2022;44;Grand Est;RES;RESIDENTIEL;;5965;63374.605;10.624409891031;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Gaz;2023;44;Grand Est;ENT;INCONNU;;267;112746.089;422.269996254682;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Gaz;2023;44;Grand Est;PRO;INCONNU;;46;2359.602;51.2956956521739;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2018;11;Île-de-France;ENT;INCONNU;;558;17588.00716;31.51972609319;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2018;11;Île-de-France;ENT;INDUSTRIE;;3521;6304237.49568;1790.46790561772;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2018;11;Île-de-France;PRO;AGRICULTURE;;190;9895.04589;52.0791888947368;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2018;24;Centre-Val de Loire;ENT;AGRICULTURE;;86;288139.11293;3350.45480151163;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2018;24;Centre-Val de Loire;ENT;INCONNU;;99;1726.65179;17.4409271717172;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2018;24;Centre-Val de Loire;ENT;INDUSTRIE;;1341;3373620.49042;2515.74980642804;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2018;24;Centre-Val de Loire;PRO;INDUSTRIE;;2611;198804.8304;76.1412602068173;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2018;27;Bourgogne-Franche-Comté;ENT;INDUSTRIE;;1304;3718084.16446;2851.29153716258;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2018;27;Bourgogne-Franche-Comté;ENT;TERTIAIRE;;3252;3072634.05445;944.844420187577;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2018;27;Bourgogne-Franche-Comté;RES;RESIDENTIEL;;477227;6332026.77378;13.2683749531774;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2018;28;Normandie;ENT;AGRICULTURE;;31;18830.41879;607.432864193548;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2018;28;Normandie;PRO;INDUSTRIE;;3553;286676.95318;80.6858860624824;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2018;32;Hauts-de-France;ENT;INDUSTRIE;;3124;10288437.28926;3293.35380578105;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2018;44;Grand Est;PRO;TERTIAIRE;;34784;1838639.85595;52.8587815073022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2018;44;Grand Est;RES;RESIDENTIEL;;943426;13668003.57323;14.4876265581296;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2018;52;Pays de la Loire;ENT;AGRICULTURE;;136;423105.83516;3111.07231735294;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2018;52;Pays de la Loire;ENT;INDUSTRIE;;1255;4420252.62089;3522.11364214343;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2018;52;Pays de la Loire;ENT;TERTIAIRE;;2990;3718297.3366;1243.57770454849;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2018;52;Pays de la Loire;PRO;AGRICULTURE;;124;9693.29065;78.1716987903226;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2018;52;Pays de la Loire;RES;RESIDENTIEL;;589570;6452665.28073;10.9446974587072;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2018;53;Bretagne;ENT;AGRICULTURE;;156;863928.91337;5538.0058549359;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2018;53;Bretagne;ENT;TERTIAIRE;;2232;3887187.52818;1741.57147319893;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2018;53;Bretagne;PRO;INDUSTRIE;;1672;114195.67715;68.2988499700957;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2018;75;Nouvelle-Aquitaine;ENT;TERTIAIRE;;3384;2859657.92183;845.052577372932;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2018;75;Nouvelle-Aquitaine;PRO;TERTIAIRE;;28829;1358357.96444;47.1177621297999;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2018;76;Occitanie;ENT;AGRICULTURE;;81;61880.29841;763.954301358025;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2018;76;Occitanie;ENT;TERTIAIRE;;3833;3106425.60868;810.442371166189;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2018;84;Auvergne-Rhône-Alpes;ENT;AGRICULTURE;;103;57905.24302;562.186825436893;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2018;84;Auvergne-Rhône-Alpes;ENT;INDUSTRIE;;3778;9686776.04315;2563.99577637639;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2018;84;Auvergne-Rhône-Alpes;PRO;INDUSTRIE;;8439;614915.17705;72.8658818639649;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2018;84;Auvergne-Rhône-Alpes;PRO;TERTIAIRE;;50993;2711342.66591;53.1708796483831;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2018;84;Auvergne-Rhône-Alpes;RES;RESIDENTIEL;;1242447;14751253.51043;11.872742668645;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2018;93;Provence-Alpes-Côte d'Azur;ENT;AGRICULTURE;;160;299775.40935;1873.5963084375;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2018;93;Provence-Alpes-Côte d'Azur;ENT;INCONNU;;125;2980.50099;23.84400792;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2018;93;Provence-Alpes-Côte d'Azur;PRO;INDUSTRIE;;2306;184773.76477;80.1273914874241;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2018;93;Provence-Alpes-Côte d'Azur;RES;RESIDENTIEL;;703051;6011639.00613;8.55078650927173;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2019;11;Île-de-France;ENT;INDUSTRIE;;3449;5943080.43038;1723.13146720209;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2019;11;Île-de-France;PRO;AGRICULTURE;;187;9715.1083;51.952450802139;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2019;11;Île-de-France;PRO;INDUSTRIE;;8681;529190.51054;60.9596256813731;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2019;11;Île-de-France;RES;RESIDENTIEL;;2463600;33738044.56257;13.6946113665246;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2019;24;Centre-Val de Loire;ENT;INCONNU;;202;16814.01382;83.2376921782178;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2019;24;Centre-Val de Loire;PRO;AGRICULTURE;;138;7097.8496;51.4336927536232;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2019;27;Bourgogne-Franche-Comté;ENT;INDUSTRIE;;1264;3630241.0201;2872.02612349684;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2019;27;Bourgogne-Franche-Comté;PRO;AGRICULTURE;;660;30909.35664;46.8323585454545;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2019;28;Normandie;PRO;AGRICULTURE;;109;5425.92741;49.7791505504587;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2019;28;Normandie;RES;RESIDENTIEL;;507968;6024267.42444;11.8595412003118;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2019;32;Hauts-de-France;ENT;TERTIAIRE;;4711;4714613.27133;1000.76698606028;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2019;32;Hauts-de-France;PRO;INDUSTRIE;;7705;605949.264;78.6436423101882;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2019;44;Grand Est;PRO;INDUSTRIE;;5224;399881.98399;76.5470872875191;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2019;52;Pays de la Loire;PRO;INDUSTRIE;;2737;181707.62948;66.3893421556449;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2019;52;Pays de la Loire;PRO;TERTIAIRE;;21436;1084124.26325;50.574932974902;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2019;52;Pays de la Loire;RES;RESIDENTIEL;;596796;6367548.48641;10.6695562410103;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2019;53;Bretagne;ENT;AGRICULTURE;;155;896709.03808;5785.21960051613;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2019;53;Bretagne;PRO;AGRICULTURE;;56;4861.14064;86.8060828571429;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2019;53;Bretagne;PRO;INDUSTRIE;;1693;116241.69599;68.6601866450088;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2019;53;Bretagne;PRO;TERTIAIRE;;17928;926443.33101;51.6757770532128;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2019;75;Nouvelle-Aquitaine;ENT;INCONNU;;321;11844.71464;36.8994225545171;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2019;75;Nouvelle-Aquitaine;ENT;TERTIAIRE;;3387;2865643.0693;846.07117487452;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2019;75;Nouvelle-Aquitaine;PRO;AGRICULTURE;;520;37217.80064;71.5726935384615;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2019;75;Nouvelle-Aquitaine;RES;RESIDENTIEL;;740382;8185727.81684;11.0560870156757;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2019;76;Occitanie;ENT;AGRICULTURE;;80;74029.16542;925.36456775;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2019;76;Occitanie;ENT;INCONNU;;396;13145.1361;33.1947881313131;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2019;84;Auvergne-Rhône-Alpes;ENT;INCONNU;;549;35768.19354;65.1515365027322;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2019;84;Auvergne-Rhône-Alpes;PRO;AGRICULTURE;;247;13155.34572;53.2605089878543;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2019;84;Auvergne-Rhône-Alpes;PRO;TERTIAIRE;;50606;2686384.39815;53.084306172193;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2019;93;Provence-Alpes-Côte d'Azur;ENT;INCONNU;;276;52102.98427;188.778928514493;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2019;93;Provence-Alpes-Côte d'Azur;ENT;TERTIAIRE;;4054;3336033.61694;822.899264168722;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2019;93;Provence-Alpes-Côte d'Azur;PRO;AGRICULTURE;;141;5636.8598;39.9777290780142;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2019;93;Provence-Alpes-Côte d'Azur;PRO;INDUSTRIE;;2287;181827.86481;79.5049693091386;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2019;93;Provence-Alpes-Côte d'Azur;PRO;TERTIAIRE;;18637;899527.59232;48.2656861254494;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2020;11;Île-de-France;ENT;INDUSTRIE;13;3;25885.19706;8628.39902;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2020;11;Île-de-France;ENT;INDUSTRIE;14;3;952.7881;317.596033333333;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2020;11;Île-de-France;ENT;INDUSTRIE;22;45;71811.43542;1595.809676;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2020;11;Île-de-France;ENT;INDUSTRIE;25;146;118236.44944;809.838694794521;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2020;11;Île-de-France;ENT;INDUSTRIE;27;27;114062.40344;4224.53346074074;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2020;11;Île-de-France;ENT;INDUSTRIE;28;57;31737.38812;556.796282807018;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2020;11;Île-de-France;ENT;INDUSTRIE;35;2650;4457177.54221;1681.95378951321;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2020;11;Île-de-France;ENT;TERTIAIRE;37;11;55242.01302;5022.00118363636;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2020;11;Île-de-France;ENT;TERTIAIRE;58;9;10745.8203;1193.98003333333;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2020;11;Île-de-France;ENT;TERTIAIRE;61;78;31566.68952;404.701147692308;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2020;11;Île-de-France;ENT;TERTIAIRE;64;186;113339.33716;609.351275053763;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2020;11;Île-de-France;ENT;TERTIAIRE;66;45;28371.90679;630.486817555556;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
